seller_id,seller_name,zone,email,phone,hire_date
21ba0f55-ed50-4dfc-b223-a0401e9fccc0,Shawn Berry,Nord,kimberly48@alvarez-lopez.org,012.195.8152x4352,2021-08-20
2a5c53f8-5be7-4f2b-9f4f-1b64bf18e11b,James Calderon,Centro,danny90@gmail.com,+1-070-661-4765,2024-06-07
1b86f521-6920-4da7-ac7f-066cefbf927b,Melissa Hahn,Sud,zbenson@gmail.com,550.121.2641x78073,2021-10-14
4cf29dc7-ad9f-4bd5-8d12-ad1e4a3af28a,Andrew Stevens,Nord,shannon97@bradley.org,(070)811-5969x00740,2024-08-18
a71aeb47-ee6f-40c5-9e77-25a83ca3966f,Selena Larson,Isole,brittanyross@hotmail.com,+1-116-964-9072x792,2020-07-23
9bbb7055-9918-4de1-aea1-51072b0e3aa0,Amber Miller,Centro,jennifer97@evans.com,(301)957-3023,2020-11-16
0680b000-d563-4a7c-9c96-59d8e366297d,Matthew Dominguez,Centro,yavila@yahoo.com,+1-030-225-2153,2023-04-15
43f635ee-2131-4fc9-bc00-30fffa53e9d0,Aaron Stafford,Nord,christieyang@sosa.info,068-584-4918x51949,2021-12-16
202b0655-47e9-490a-bb9a-dcf037dc0ce6,Michael Allen,Centro,abigail33@gmail.com,+1-817-711-9773,2024-04-12
f1400f41-8a6c-4ce0-bcc4-ad116e4eb7a4,Brandy Mckinney,Centro,wendy48@callahan.com,079-320-1114x287,2024-06-27
ba6f708a-576a-4cf8-af88-a71e01c82c4f,Kathryn Noble,Sud,millerevan@yahoo.com,+1-325-587-0012x91280,2024-08-05
c7c50a9c-111f-43b7-b76d-edaae69e756e,Matthew Reed,Nord,edwardscheryl@conrad-burton.com,971-757-5061,2022-09-28
087c769b-4e30-47ef-a3d3-3141bbcf84c2,Robert Johnson,Centro,jacob02@martinez.com,896.253.3747,2022-07-07
b14cb6bb-5f20-4414-8c11-cb8a7a36737a,Jennifer White,Centro,cynthia00@may.com,818.373.4221x946,2022-09-06
936e7e0b-055c-44fb-a868-8b5a7472c1a7,Hannah Marquez,Nord,dylanturner@yahoo.com,924-454-4941x04704,2020-10-01
f93af035-6ba9-4cf2-b6cc-f18a731c3a7c,Patricia Cole,Isole,sallen@mcdaniel.com,456-506-9650x897,2025-04-10
c11dee11-c3a7-4e59-9105-9beedcd64703,John Smith,Sud,joseph63@smith.com,001-296-742-6134x77245,2020-11-22
f302e864-0832-41bc-803d-868f4522a09c,Thomas Wilson,Centro,chelsea23@hotmail.com,+1-418-447-1220x620,2023-01-11
c88e1d3f-89f9-4354-81e1-d37981dfe459,Elizabeth Stewart,Centro,alex98@yahoo.com,+1-794-915-1755,2024-05-09
71350198-b69f-4820-83ed-1d8fd9544e66,Kelsey Thompson,Sud,christinasanchez@hotmail.com,295.133.3562,2024-07-11
e1d81b3e-d2c7-498b-9950-4c63999a4938,Kathryn Munoz,Isole,woodsmichelle@curtis.com,7961526541,2021-09-17
969467a9-f747-42d2-8e7c-1210bad89432,Ryan James,Sud,brad15@hotmail.com,001-769-103-4479x12929,2022-12-17
4674f64a-b59d-4fd4-95c2-7d2cfc3f2eef,Eric Griffin,Nord,reyeskatelyn@kramer.biz,066.780.1708x230,2021-11-14
a180362b-b87d-4bdd-912a-60e3d1978a87,Jessica Winters,Nord,wcruz@perez.com,396.569.8147x2360,2021-01-20
c1d8ce74-1ae4-4258-a378-bdcf1d4ff7ba,Sherry Henderson,Isole,ryanpetersen@yahoo.com,(319)819-5628x68083,2021-05-26
f2241adc-0fa9-48b3-add7-1fea766d5ab2,Melissa Walker,Centro,jhicks@hotmail.com,+1-237-051-7626x350,2022-09-22
c47a0bb4-e3ef-4f2e-851b-d8adc26d08ec,Brittney Wright,Isole,jpowell@yahoo.com,773-633-1093x03819,2021-09-29
22014c5e-10c4-4266-9786-82a17d2ee458,Stephanie Carr,Centro,crystal64@alvarez-fitzgerald.com,+1-383-552-6507x03971,2021-07-08
e2b87deb-2e3b-44ea-8d90-ff02333d7209,Heather Hernandez,Isole,russellryan@yahoo.com,102.437.4093,2023-04-05
ac9c46e0-23e2-417f-bcbb-a5861da78e30,Kara Brown,Isole,sarah45@hotmail.com,+1-469-216-8157x415,2024-12-24
e1f4cda1-a1a8-4f54-8920-7e7030b5463d,Maria French,Nord,millszachary@gmail.com,545-015-8607,2024-11-18
d8893cd4-4f54-4daf-8bc9-3e7bcc4df8ca,Brandon Smith,Nord,spencerdouglas@williams-riley.net,(715)609-0593x00106,2023-04-14
10d46bd0-31aa-4993-85a9-4f2c12b8043e,Elizabeth Hobbs,Centro,zjefferson@hotmail.com,761-506-0866x7922,2025-01-18
054d74a7-8701-47d2-b79c-eb50e59354dd,Natalie Ferguson,Sud,davidjones@gmail.com,165.842.6484,2025-01-07
169c3126-4b37-4bda-ac63-986966142319,Yolanda Cantrell,Isole,barbaramartin@hotmail.com,110-112-7528,2021-11-30
ef84adec-811b-4043-9c13-e65a4959e7aa,Jeremy Cochran,Sud,baxtermichael@acosta.com,472-056-6126x358,2021-08-07
c217d004-e04a-4e06-8186-f432ee300c59,Jacob Peterson,Nord,phillipallen@barton-campbell.com,001-525-498-0028,2021-02-26
fc6c1dae-88ae-467b-ac7a-bf56ff4fc9a9,Lisa Hickman,Centro,christopherharrison@thompson.biz,+1-008-980-6743x97697,2020-06-26
04204cbb-b213-4ecd-b9c1-8f900f8d0860,Scott Allen,Sud,flopez@hotmail.com,001-899-808-6381x876,2021-04-05
96a04b3b-4ad4-4d0a-9138-4cc257bc6d85,Vicki Chen,Sud,projas@gmail.com,001-008-694-4977x1645,2025-04-03
